,trip_id,stop_id,stop_name,arrival_time,departure_time,stop_lat,stop_lon,stop_sequence
0,4017020,42430,Spadina Ave at King St West,20:12:54,20:12:54,43.645425,-79.394795,11
1,8527010,42385,Spadina Ave at Richmond St West,20:12:43,20:12:43,43.647754,-79.395729,2
2,11844040,18535,SPADINA AVE AT FORT YORK BLVD,20:12:46,20:12:46,43.640742,-79.393327,13
3,13048020,42395,Spadina Ave at Dundas St West,20:12:52,20:12:52,43.652844,-79.397885,5
4,13155080,42413,Spadina Ave at Sussex Ave South Side,20:12:15,20:12:15,43.66432,-79.402783,3
5,17379050,42432,Queens Quay West at Bathurst St,20:12:00,20:12:00,43.63588,-79.398258,16
6,18772050,42401,Spadina Ave at Sullivan,20:11:57,20:11:57,43.650864,-79.396963,14
7,23191050,42402,Spadina Ave at Bloor St West,20:12:54,20:12:54,43.666549,-79.403577,11
8,27817050,4502,Exhibition Loop at Manitoba Dr,20:12:00,20:12:00,43.636511,-79.41471,1
9,36693080,2440,CHARLOTTE ST AT OXLEY ST,20:12:00,20:12:00,43.646564,-79.394005,11
10,36956020,42398,Spadina Ave at Nassau St,20:12:32,20:12:32,43.65598,-79.399529,7
11,41899020,2440,CHARLOTTE ST AT OXLEY ST,20:12:00,20:12:00,43.646564,-79.394005,11
12,49558010,4502,Exhibition Loop at Manitoba Dr,20:12:00,20:12:00,43.636511,-79.41471,1
13,50246070,4502,Exhibition Loop at Manitoba Dr,20:12:00,20:12:00,43.636511,-79.41471,24
14,53362020,18794,Fort York Blvd at Iannuzzi St East Side,20:12:26,20:12:26,43.638389,-79.40154,5
15,53985050,18535,SPADINA AVE AT FORT YORK BLVD,20:12:46,20:12:46,43.640742,-79.393327,13
16,54248020,42386,Spadina Ave at Nassau St,20:12:14,20:12:14,43.65581,-79.398906,16
17,55174070,18535,SPADINA AVE AT FORT YORK BLVD,20:12:40,20:12:40,43.640742,-79.393327,13
18,55592050,42413,Spadina Ave at Sussex Ave South Side,20:11:55,20:11:55,43.66432,-79.402783,3
19,55592050,42397,Spadina Ave at Harbord St,20:12:37,20:12:37,43.663078,-79.402395,4
20,56827010,42413,Spadina Ave at Sussex Ave South Side,20:11:55,20:11:55,43.66432,-79.402783,3
21,56827010,42397,Spadina Ave at Harbord St,20:12:37,20:12:37,43.663078,-79.402395,4
22,57367080,42430,Spadina Ave at King St West,20:12:54,20:12:54,43.645425,-79.394795,11
23,60569070,42392,Spadina Station at Bus Bay 1,20:12:38,20:12:38,43.667383,-79.403837,22
24,70781080,4122,Exhibition Loop,20:12:29,20:12:29,43.635874,-79.417054,23
25,72406020,42392,Spadina Station at Bus Bay 1,20:12:34,20:12:34,43.667383,-79.403837,12
26,75688040,42413,Spadina Ave at Sussex Ave South Side,20:11:55,20:11:55,43.66432,-79.402783,3
27,75688040,42397,Spadina Ave at Harbord St,20:12:37,20:12:37,43.663078,-79.402395,4
28,79380010,42401,Spadina Ave at Sullivan,20:11:57,20:11:57,43.650864,-79.396963,14
29,81042070,42431,Queens Quay West at Dan Leckie Way,20:12:38,20:12:38,43.636812,-79.39661,15
30,81287070,42387,Spadina Ave at Willcoks St,20:12:27,20:12:27,43.661268,-79.401112,8
31,83130050,42385,Spadina Ave at Richmond St West,20:12:43,20:12:43,43.647754,-79.395729,2
32,90810020,42413,Spadina Ave at Sussex Ave South Side,20:12:15,20:12:15,43.66432,-79.402783,3
33,91772080,18794,Fort York Blvd at Iannuzzi St East Side,20:12:26,20:12:26,43.638389,-79.40154,5
34,92299070,42389,Spadina Ave at Willcocks St,20:12:37,20:12:37,43.661321,-79.40171,5
35,96445010,18535,SPADINA AVE AT FORT YORK BLVD,20:12:46,20:12:46,43.640742,-79.393327,13
36,97877070,42395,Spadina Ave at Dundas St West,20:12:52,20:12:52,43.652844,-79.397885,5
37,116093040,42401,Spadina Ave at Sullivan,20:11:57,20:11:57,43.650864,-79.396963,14
38,120019080,42405,Spadina Ave at Harbord St North Side,20:12:24,20:12:24,43.6634,-79.402109,19
39,124099070,42394,Spadina Avenue at College Street,20:12:34,20:12:34,43.657898,-79.399741,17
40,124366080,42398,Spadina Ave at Nassau St,20:12:32,20:12:32,43.65598,-79.399529,7
41,131193080,42386,Spadina Ave at Nassau St,20:12:14,20:12:14,43.65581,-79.398906,16
42,138025080,42392,Spadina Station at Bus Bay 1,20:12:34,20:12:34,43.667383,-79.403837,12
43,142637040,42432,Queens Quay West at Bathurst St,20:12:00,20:12:00,43.63588,-79.398258,16
44,143220020,42405,Spadina Ave at Harbord St North Side,20:12:24,20:12:24,43.6634,-79.402109,19
45,147955010,42402,Spadina Ave at Bloor St West,20:12:54,20:12:54,43.666549,-79.403577,11
46,151258040,4502,Exhibition Loop at Manitoba Dr,20:12:00,20:12:00,43.636511,-79.41471,1
47,163991080,42395,Spadina Ave at Dundas St West,20:12:52,20:12:52,43.652844,-79.397885,5
48,165965040,42402,Spadina Ave at Bloor St West,20:12:54,20:12:54,43.666549,-79.403577,11
49,174937080,4263,Princes' Blvd at Strachan Ave,20:12:48,20:12:48,43.635095,-79.408568,21
50,175405010,42432,Queens Quay West at Bathurst St,20:12:00,20:12:00,43.63588,-79.398258,16
51,176625040,42385,Spadina Ave at Richmond St West,20:12:43,20:12:43,43.647754,-79.395729,2
52,178727020,4122,Exhibition Loop,20:12:29,20:12:29,43.635874,-79.417054,23
53,186810020,4263,Princes' Blvd at Strachan Ave,20:12:48,20:12:48,43.635095,-79.408568,21
